# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
         5.85679     9.49471e-06     2.55105e-06     9.39987e-06     2.55047e-06     9.39346e-06     2.55096e-06
         6.18507     8.25451e-06     2.21783e-06      8.1721e-06     2.21733e-06     8.16649e-06     2.21775e-06
         6.53174     7.17415e-06     1.92756e-06     7.10256e-06     1.92713e-06     7.09765e-06     1.92749e-06
         6.89785     6.23342e-06      1.6748e-06     6.17125e-06     1.67443e-06     6.16695e-06     1.67474e-06
         7.28448      5.4145e-06     1.45477e-06     5.36054e-06     1.45446e-06     5.35677e-06     1.45472e-06
         7.69278     4.70186e-06      1.2633e-06     4.65503e-06     1.26303e-06     4.65174e-06     1.26326e-06
         8.12397     4.08191e-06     1.09674e-06     4.04129e-06      1.0965e-06      4.0384e-06      1.0967e-06
         8.57933     3.54275e-06     9.51874e-07     3.50753e-06     9.51677e-07       3.505e-06     9.51843e-07
          9.0602     3.07401e-06     8.25934e-07     3.04348e-06     8.25766e-07     3.04126e-06     8.25907e-07
         9.56804      2.6666e-06      7.1647e-07     2.64015e-06     7.16328e-07      2.6382e-06     7.16448e-07
         10.1043     2.31261e-06      6.2136e-07      2.2897e-06      6.2124e-07     2.28798e-06     6.21341e-07
         10.6707     2.00512e-06     5.38742e-07     1.98528e-06      5.3864e-07     1.98376e-06     5.38726e-07
         11.2688     1.73809e-06     4.66996e-07     1.72092e-06     4.66911e-07     1.71958e-06     4.66983e-07
         11.9004     1.50626e-06     4.04709e-07     1.49141e-06     4.04638e-07     1.49023e-06     4.04698e-07
         12.5674     1.30505e-06     3.50648e-07     1.29221e-06     3.50589e-07     1.29116e-06     3.50638e-07
         13.2719     1.13046e-06     3.03739e-07     1.11936e-06      3.0369e-07     1.11844e-06     3.03731e-07
         14.0158     9.79008e-07     2.63046e-07     9.69415e-07     2.63006e-07     9.68596e-07     2.63039e-07
         14.8013     8.47658e-07     2.27754e-07     8.39375e-07     2.27723e-07     8.38647e-07     2.27749e-07
